negara,id_responden,pentingnya_keluarga,pentingnya_teman,pentingnya_waktu_luang,pentingnya_pekerjaan,kebebasan_memilih,kepuasan_hidup,kepuasan_finansial,religiusitas,skala_politik,jenis_kelamin,tahun_lahir,usia,status_pernikahan,status_pekerjaan
Kanada,124072707,1.0,1.0,1.0,2.0,7.0,7.0,5.0,5.0,3.0,Perempuan,1989.0,31.0,Menikah,Penuh waktu
Kanada,124072708,1.0,2.0,2.0,3.0,3.0,4.0,4.0,9.0,2.0,Perempuan,1971.0,49.0,Menikah,Penuh waktu
Kanada,124072709,2.0,2.0,1.0,3.0,6.0,6.0,7.0,2.0,3.0,Laki-laki,1955.0,65.0,Lajang,Penuh waktu
Kanada,124072710,1.0,1.0,1.0,2.0,9.0,7.0,5.0,9.0,7.0,Perempuan,1967.0,53.0,Menikah,Tidak bekerja
Kanada,124072711,2.0,2.0,2.0,2.0,6.0,7.0,7.0,10.0,7.0,Laki-laki,1992.0,22.0,Menikah,Penuh waktu
Kanada,124072712,2.0,2.0,1.0,2.0,7.0,5.0,6.0,4.0,4.0,Laki-laki,1984.0,36.0,Menikah,Penuh waktu
Kanada,124072714,1.0,1.0,1.0,2.0,10.0,9.0,9.0,5.0,6.0,Perempuan,1976.0,43.0,Kohabitasi,Wiraswasta
Kanada,124072715,1.0,1.0,2.0,2.0,8.0,8.0,6.0,8.0,5.0,Perempuan,1952.0,68.0,Pisah,Pensiunan
Kanada,124072716,1.0,1.0,1.0,1.0,6.0,6.0,5.0,4.0,6.0,Laki-laki,1995.0,25.0,Lajang,Paruh waktu
Kanada,124072717,1.0,2.0,2.0,2.0,9.0,9.0,9.0,4.0,8.0,Perempuan,1962.0,58.0,Menikah,Penuh waktu
Kanada,124072718,1.0,2.0,1.0,2.0,9.0,8.0,6.0,6.0,5.0,Perempuan,1980.0,40.0,Lajang,Penuh waktu
Kanada,124072721,1.0,1.0,2.0,3.0,8.0,9.0,8.0,4.0,5.0,Laki-laki,1952.0,68.0,Kohabitasi,Pensiunan
Kanada,124072723,1.0,2.0,1.0,2.0,7.0,6.0,7.0,10.0,7.0,Laki-laki,1956.0,64.0,Lajang,Wiraswasta
Kanada,124072724,1.0,1.0,2.0,2.0,8.0,7.0,9.0,6.0,8.0,Laki-laki,1936.0,84.0,Menikah,Pensiunan
Kanada,124072725,1.0,1.0,2.0,4.0,9.0,9.0,9.0,5.0,5.0,Perempuan,1946.0,73.0,Menikah,Pensiunan
Kanada,124072726,1.0,3.0,2.0,2.0,10.0,9.0,8.0,8.0,5.0,Perempuan,1968.0,52.0,Menikah,Penuh waktu
Kanada,124072727,1.0,1.0,1.0,2.0,7.0,6.0,5.0,4.0,4.0,Perempuan,1995.0,25.0,Lajang,Tidak bekerja
Kanada,124072728,1.0,1.0,1.0,2.0,9.0,9.0,9.0,9.0,8.0,Laki-laki,1946.0,74.0,Menikah,Pensiunan
Kanada,124072729,1.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,5.0,Perempuan,1977.0,43.0,Menikah,Lainnya
Kanada,124072730,1.0,1.0,2.0,2.0,9.0,9.0,3.0,5.0,5.0,Perempuan,2000.0,20.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124072731,3.0,2.0,2.0,1.0,10.0,8.0,4.0,10.0,5.0,Perempuan,1988.0,31.0,Kohabitasi,Wiraswasta
Kanada,124072732,1.0,1.0,2.0,2.0,6.0,6.0,5.0,4.0,5.0,Laki-laki,1972.0,48.0,Lajang,Lainnya
Kanada,124072733,2.0,2.0,2.0,2.0,10.0,7.0,5.0,7.0,1.0,Perempuan,1990.0,30.0,Menikah,Penuh waktu
Kanada,124072734,1.0,1.0,1.0,1.0,8.0,8.0,8.0,5.0,7.0,Perempuan,1997.0,23.0,Lajang,Pelajar/Mahasiswa
Kanada,124072736,1.0,2.0,2.0,2.0,5.0,8.0,4.0,7.0,5.0,Perempuan,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072737,1.0,2.0,2.0,1.0,8.0,7.0,8.0,10.0,4.0,Laki-laki,1977.0,43.0,Menikah,Penuh waktu
Kanada,124072738,1.0,1.0,1.0,3.0,7.0,8.0,8.0,1.0,5.0,Laki-laki,1973.0,47.0,Pisah,Penuh waktu
Kanada,124072739,2.0,2.0,2.0,2.0,8.0,8.0,8.0,10.0,5.0,Perempuan,1964.0,56.0,Lajang,Penuh waktu
Kanada,124072740,2.0,2.0,2.0,2.0,6.0,7.0,6.0,4.0,5.0,Perempuan,1993.0,26.0,Kohabitasi,Penuh waktu
Kanada,124072741,1.0,2.0,1.0,1.0,6.0,6.0,5.0,10.0,5.0,Laki-laki,1990.0,30.0,Menikah,Penuh waktu
Kanada,124072742,3.0,2.0,1.0,2.0,7.0,6.0,6.0,5.0,6.0,Perempuan,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072743,1.0,4.0,1.0,4.0,1.0,5.0,8.0,4.0,3.0,Perempuan,1997.0,22.0,Menikah,Ibu rumah tangga
Kanada,124072744,1.0,2.0,2.0,2.0,9.0,9.0,8.0,5.0,5.0,Laki-laki,1991.0,28.0,Kohabitasi,Ibu rumah tangga
Kanada,124072745,1.0,1.0,2.0,1.0,7.0,7.0,7.0,7.0,5.0,Perempuan,1980.0,40.0,Lajang,Pelajar/Mahasiswa
Kanada,124072747,2.0,2.0,2.0,3.0,8.0,5.0,5.0,6.0,10.0,Laki-laki,1960.0,60.0,Menikah,Penuh waktu
Kanada,124072748,1.0,1.0,1.0,2.0,8.0,8.0,6.0,5.0,6.0,Laki-laki,1949.0,71.0,Menikah,Pensiunan
Kanada,124072749,1.0,1.0,2.0,1.0,7.0,6.0,6.0,5.0,5.0,Perempuan,2002.0,18.0,Lajang,Pelajar/Mahasiswa
Kanada,124072750,1.0,2.0,1.0,1.0,8.0,6.0,4.0,4.0,6.0,Laki-laki,1972.0,48.0,Menikah,Penuh waktu
Kanada,124072751,2.0,2.0,1.0,1.0,7.0,8.0,6.0,5.0,6.0,Laki-laki,1999.0,21.0,Lajang,Pelajar/Mahasiswa
Kanada,124072752,1.0,2.0,1.0,1.0,10.0,7.0,3.0,7.0,6.0,Laki-laki,1961.0,58.0,Menikah,Penuh waktu
Kanada,124072753,1.0,2.0,2.0,1.0,8.0,6.0,4.0,7.0,2.0,Perempuan,1981.0,39.0,Pisah,Penuh waktu
Kanada,124072755,1.0,1.0,2.0,2.0,6.0,5.0,7.0,2.0,4.0,Perempuan,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072756,2.0,3.0,2.0,3.0,4.0,3.0,3.0,6.0,6.0,Perempuan,1986.0,34.0,Lajang,Tidak bekerja
Kanada,124072757,1.0,3.0,2.0,3.0,7.0,7.0,6.0,7.0,6.0,Perempuan,1993.0,27.0,Menikah,Ibu rumah tangga
Kanada,124072758,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,Perempuan,1981.0,39.0,Lajang,Tidak bekerja
Kanada,124072760,1.0,1.0,1.0,1.0,10.0,7.0,1.0,3.0,6.0,Perempuan,1994.0,26.0,Lajang,Penuh waktu
Kanada,124072762,2.0,3.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,Laki-laki,1992.0,27.0,Lajang,Penuh waktu
Kanada,124072764,1.0,1.0,1.0,1.0,8.0,9.0,8.0,6.0,7.0,Perempuan,1965.0,55.0,Menikah,Penuh waktu
Kanada,124072765,1.0,1.0,2.0,2.0,8.0,9.0,9.0,2.0,3.0,Laki-laki,1948.0,72.0,Menikah,Pensiunan
Kanada,124072767,1.0,1.0,1.0,2.0,8.0,9.0,8.0,3.0,6.0,Perempuan,2000.0,20.0,Lajang,Paruh waktu
Kanada,124072768,1.0,1.0,2.0,2.0,8.0,8.0,6.0,6.0,8.0,Perempuan,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072769,1.0,1.0,1.0,2.0,6.0,6.0,5.0,5.0,7.0,Laki-laki,1981.0,38.0,Pisah,Penuh waktu
Kanada,124072770,1.0,1.0,2.0,2.0,7.0,7.0,7.0,10.0,7.0,Perempuan,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072771,1.0,2.0,1.0,2.0,6.0,7.0,7.0,3.0,7.0,Laki-laki,1990.0,29.0,Menikah,Penuh waktu
Kanada,124072772,2.0,2.0,1.0,1.0,6.0,7.0,6.0,6.0,8.0,Perempuan,1997.0,23.0,Lajang,Paruh waktu
Kanada,124072773,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,8.0,Perempuan,1970.0,50.0,Menikah,Paruh waktu
Kanada,124072774,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,Perempuan,1946.0,74.0,Menikah,Pensiunan
Kanada,124072775,1.0,1.0,2.0,2.0,8.0,8.0,9.0,2.0,5.0,Perempuan,1971.0,49.0,Lajang,Penuh waktu
Kanada,124072776,1.0,1.0,2.0,2.0,8.0,5.0,5.0,7.0,4.0,Perempuan,1992.0,28.0,Lajang,Penuh waktu
Kanada,124072777,1.0,2.0,2.0,1.0,10.0,6.0,7.0,6.0,8.0,Laki-laki,1975.0,44.0,Pisah,Penuh waktu
Kanada,124072778,1.0,1.0,2.0,2.0,7.0,7.0,7.0,3.0,8.0,Perempuan,1987.0,33.0,Kohabitasi,Penuh waktu
Kanada,124072779,1.0,1.0,1.0,2.0,10.0,10.0,8.0,6.0,5.0,Perempuan,1967.0,53.0,Kohabitasi,Penuh waktu
Kanada,124072780,1.0,2.0,1.0,1.0,10.0,9.0,8.0,6.0,8.0,Laki-laki,1990.0,30.0,Menikah,Penuh waktu
Kanada,124072781,1.0,2.0,1.0,2.0,8.0,8.0,8.0,3.0,8.0,Perempuan,1966.0,54.0,Menikah,Pensiunan
Kanada,124072782,1.0,2.0,2.0,1.0,7.0,7.0,6.0,3.0,5.0,Perempuan,2000.0,20.0,Lajang,Paruh waktu
Kanada,124072783,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,Laki-laki,1992.0,28.0,Kohabitasi,Tidak bekerja
Kanada,124072784,3.0,2.0,1.0,2.0,7.0,7.0,7.0,3.0,6.0,Laki-laki,1968.0,52.0,Lajang,Paruh waktu
Kanada,124072785,1.0,1.0,2.0,2.0,9.0,9.0,9.0,5.0,5.0,Perempuan,1969.0,51.0,Menikah,Penuh waktu
Kanada,124072786,1.0,1.0,2.0,1.0,9.0,9.0,4.0,6.0,7.0,Perempuan,1992.0,27.0,Menikah,Penuh waktu
Kanada,124072787,1.0,1.0,1.0,2.0,8.0,7.0,7.0,5.0,4.0,Laki-laki,1976.0,43.0,Lajang,Penuh waktu
Kanada,124072788,1.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,Perempuan,1988.0,32.0,Menikah,Tidak bekerja
Kanada,124072789,2.0,3.0,1.0,1.0,5.0,5.0,6.0,1.0,10.0,Laki-laki,1992.0,27.0,Lajang,Penuh waktu
Kanada,124072790,1.0,1.0,2.0,2.0,7.0,7.0,7.0,2.0,3.0,Laki-laki,1985.0,35.0,Menikah,Penuh waktu
Kanada,124072791,1.0,1.0,1.0,1.0,6.0,7.0,8.0,2.0,1.0,Laki-laki,1986.0,34.0,Menikah,Penuh waktu
Kanada,124072793,1.0,1.0,2.0,1.0,7.0,6.0,7.0,4.0,7.0,Laki-laki,1974.0,46.0,Lajang,Penuh waktu
Kanada,124072794,3.0,2.0,2.0,1.0,8.0,5.0,6.0,3.0,6.0,Laki-laki,1970.0,50.0,Lajang,Penuh waktu
Kanada,124072795,1.0,2.0,3.0,2.0,8.0,7.0,7.0,4.0,5.0,Perempuan,1962.0,58.0,Menikah,Penuh waktu
Kanada,124072796,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,5.0,Laki-laki,1991.0,29.0,Lajang,Penuh waktu
Kanada,124072797,1.0,1.0,2.0,2.0,9.0,9.0,7.0,4.0,7.0,Laki-laki,1996.0,24.0,Lajang,Wiraswasta
Kanada,124072798,1.0,2.0,2.0,2.0,9.0,9.0,8.0,1.0,1.0,Laki-laki,1986.0,33.0,Menikah,Penuh waktu
Kanada,124072799,1.0,1.0,1.0,1.0,8.0,9.0,7.0,6.0,7.0,Laki-laki,1990.0,30.0,Menikah,Penuh waktu
Kanada,124072800,1.0,1.0,2.0,2.0,7.0,7.0,6.0,5.0,4.0,Perempuan,1948.0,71.0,Menikah,Paruh waktu
Kanada,124072801,1.0,1.0,1.0,1.0,7.0,7.0,7.0,8.0,10.0,Perempuan,1993.0,27.0,Lajang,Penuh waktu
Kanada,124072802,1.0,1.0,1.0,2.0,8.0,7.0,5.0,1.0,6.0,Perempuan,1980.0,40.0,Kohabitasi,Penuh waktu
Kanada,124072803,1.0,2.0,3.0,2.0,7.0,10.0,7.0,3.0,5.0,Perempuan,1991.0,29.0,Menikah,Paruh waktu
Kanada,124072804,1.0,2.0,2.0,2.0,7.0,8.0,4.0,3.0,5.0,Perempuan,1993.0,27.0,Menikah,Penuh waktu
Kanada,124072807,1.0,1.0,1.0,2.0,8.0,7.0,4.0,2.0,6.0,Laki-laki,1985.0,34.0,Menikah,Penuh waktu
Kanada,124072809,3.0,2.0,2.0,3.0,9.0,8.0,5.0,4.0,10.0,Perempuan,1970.0,50.0,Lajang,Pelajar/Mahasiswa
Kanada,124072810,1.0,1.0,1.0,1.0,9.0,10.0,8.0,6.0,6.0,Perempuan,1977.0,43.0,Menikah,Penuh waktu
Kanada,124072811,1.0,1.0,1.0,1.0,8.0,8.0,8.0,3.0,8.0,Perempuan,1972.0,48.0,Lajang,Penuh waktu
Kanada,124072812,1.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,6.0,Laki-laki,1970.0,50.0,Kohabitasi,Penuh waktu
Kanada,124072813,1.0,1.0,2.0,2.0,7.0,2.0,7.0,1.0,3.0,Perempuan,2000.0,20.0,Lajang,Pelajar/Mahasiswa
Kanada,124072814,2.0,1.0,1.0,2.0,8.0,7.0,8.0,4.0,7.0,Laki-laki,1997.0,23.0,Lajang,Penuh waktu
Kanada,124072815,1.0,2.0,2.0,1.0,8.0,10.0,10.0,5.0,5.0,Perempuan,1960.0,60.0,Kohabitasi,Penuh waktu
Kanada,124072816,1.0,2.0,2.0,1.0,10.0,7.0,8.0,5.0,5.0,Perempuan,1964.0,56.0,Menikah,Penuh waktu
Kanada,124072817,1.0,1.0,2.0,1.0,8.0,7.0,7.0,3.0,8.0,Laki-laki,1953.0,66.0,Menikah,Pensiunan
Kanada,124072818,1.0,1.0,1.0,4.0,8.0,7.0,8.0,5.0,8.0,Perempuan,1955.0,65.0,Menikah,Pensiunan
Kanada,124072819,1.0,1.0,1.0,3.0,6.0,2.0,1.0,3.0,5.0,Perempuan,1979.0,41.0,Menikah,Ibu rumah tangga
Kanada,124072820,1.0,1.0,1.0,2.0,9.0,9.0,9.0,3.0,8.0,Perempuan,1981.0,39.0,Kohabitasi,Penuh waktu
Kanada,124072821,1.0,2.0,2.0,2.0,7.0,6.0,8.0,3.0,3.0,Perempuan,1984.0,36.0,Menikah,Penuh waktu
Kanada,124072822,1.0,1.0,2.0,1.0,6.0,5.0,6.0,6.0,6.0,Perempuan,1990.0,30.0,Lajang,Penuh waktu
Kanada,124072823,2.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0,5.0,Perempuan,1965.0,55.0,Menikah,Penuh waktu
Kanada,124072824,1.0,1.0,2.0,1.0,9.0,9.0,8.0,3.0,3.0,Perempuan,1971.0,49.0,Menikah,Penuh waktu
Kanada,124072825,1.0,2.0,1.0,2.0,6.0,8.0,7.0,9.0,6.0,Laki-laki,1982.0,38.0,Menikah,Penuh waktu
Kanada,124072826,2.0,3.0,1.0,1.0,7.0,8.0,7.0,4.0,4.0,Laki-laki,2001.0,19.0,Lajang,Pelajar/Mahasiswa
Kanada,124072827,1.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,8.0,Laki-laki,1991.0,28.0,Menikah,Penuh waktu
Kanada,124072828,2.0,3.0,2.0,4.0,8.0,7.0,6.0,3.0,4.0,Perempuan,1961.0,58.0,Kohabitasi,Ibu rumah tangga
Kanada,124072829,1.0,1.0,2.0,4.0,9.0,9.0,9.0,8.0,5.0,Laki-laki,1951.0,68.0,Menikah,Pensiunan
Kanada,124072830,1.0,2.0,1.0,2.0,8.0,8.0,9.0,7.0,2.0,Laki-laki,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072831,1.0,1.0,1.0,2.0,10.0,9.0,3.0,2.0,1.0,Laki-laki,1991.0,29.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124072832,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,7.0,Perempuan,1964.0,56.0,Kohabitasi,Paruh waktu
Kanada,124072833,1.0,2.0,2.0,2.0,7.0,7.0,5.0,6.0,3.0,Perempuan,1982.0,38.0,Menikah,Penuh waktu
Kanada,124072835,1.0,1.0,1.0,1.0,7.0,6.0,7.0,8.0,5.0,Perempuan,2000.0,20.0,Lajang,Pelajar/Mahasiswa
Kanada,124072836,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,Laki-laki,1994.0,26.0,Lajang,Penuh waktu
Kanada,124072837,1.0,2.0,2.0,2.0,8.0,7.0,8.0,2.0,6.0,Laki-laki,1980.0,40.0,Menikah,Wiraswasta
Kanada,124072838,1.0,2.0,3.0,3.0,8.0,8.0,8.0,7.0,6.0,Laki-laki,1940.0,80.0,Menikah,Pensiunan
Kanada,124072840,1.0,2.0,3.0,1.0,9.0,9.0,8.0,4.0,4.0,Laki-laki,1978.0,41.0,Menikah,Penuh waktu
Kanada,124072841,1.0,2.0,2.0,2.0,7.0,7.0,7.0,9.0,4.0,Perempuan,1972.0,48.0,Kohabitasi,Penuh waktu
Kanada,124072842,1.0,2.0,2.0,2.0,9.0,6.0,4.0,1.0,6.0,Laki-laki,1971.0,49.0,Bercerai,Lainnya
Kanada,124072844,1.0,1.0,1.0,3.0,10.0,5.0,1.0,10.0,4.0,Perempuan,1968.0,52.0,Janda/Duda,Ibu rumah tangga
Kanada,124072845,1.0,2.0,1.0,1.0,9.0,9.0,10.0,4.0,10.0,Laki-laki,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072846,1.0,2.0,2.0,2.0,6.0,8.0,6.0,3.0,6.0,Perempuan,1984.0,36.0,Menikah,Penuh waktu
Kanada,124072847,2.0,2.0,2.0,2.0,9.0,7.0,8.0,3.0,8.0,Laki-laki,1974.0,46.0,Kohabitasi,Penuh waktu
Kanada,124072848,1.0,1.0,1.0,2.0,9.0,8.0,9.0,7.0,8.0,Perempuan,1981.0,39.0,Menikah,Paruh waktu
Kanada,124072849,1.0,2.0,1.0,4.0,8.0,8.0,10.0,10.0,6.0,Laki-laki,1945.0,75.0,Menikah,Pensiunan
Kanada,124072851,1.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,2.0,Laki-laki,1985.0,33.0,Lajang,Tidak bekerja
Kanada,124072852,2.0,2.0,1.0,1.0,8.0,6.0,5.0,5.0,4.0,Laki-laki,1978.0,42.0,Lajang,Pelajar/Mahasiswa
Kanada,124072853,1.0,1.0,2.0,3.0,9.0,7.0,6.0,3.0,4.0,Perempuan,1987.0,33.0,Lajang,Paruh waktu
Kanada,124072854,1.0,1.0,2.0,1.0,8.0,6.0,5.0,5.0,6.0,Perempuan,1999.0,21.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124072856,1.0,1.0,2.0,1.0,10.0,9.0,3.0,4.0,5.0,Perempuan,1958.0,62.0,Lajang,Tidak bekerja
Kanada,124072857,2.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,5.0,Laki-laki,1987.0,33.0,Lajang,Tidak bekerja
Kanada,124072858,2.0,2.0,2.0,2.0,6.0,8.0,7.0,4.0,7.0,Laki-laki,1998.0,22.0,Lajang,Pelajar/Mahasiswa
Kanada,124072859,4.0,2.0,2.0,1.0,6.0,4.0,6.0,3.0,1.0,Perempuan,1982.0,38.0,Lajang,Penuh waktu
Kanada,124072861,1.0,1.0,1.0,2.0,8.0,10.0,6.0,8.0,9.0,Perempuan,1993.0,27.0,Lajang,Pelajar/Mahasiswa
Kanada,124072862,1.0,1.0,2.0,2.0,6.0,6.0,6.0,3.0,6.0,Perempuan,1939.0,80.0,Menikah,Pensiunan
Kanada,124072863,1.0,1.0,1.0,2.0,6.0,7.0,6.0,3.0,3.0,Perempuan,1958.0,62.0,Kohabitasi,Penuh waktu
Kanada,124072864,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,1.0,Perempuan,1994.0,26.0,Lajang,Pelajar/Mahasiswa
Kanada,124072865,1.0,1.0,1.0,2.0,8.0,6.0,1.0,5.0,5.0,Perempuan,1990.0,30.0,Kohabitasi,Paruh waktu
Kanada,124072866,1.0,1.0,1.0,3.0,8.0,8.0,7.0,10.0,8.0,Laki-laki,1999.0,21.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124072867,2.0,1.0,2.0,3.0,6.0,5.0,1.0,9.0,4.0,Perempuan,1976.0,44.0,Lajang,Tidak bekerja
Kanada,124072869,2.0,2.0,2.0,1.0,7.0,8.0,8.0,5.0,9.0,Laki-laki,1981.0,39.0,Menikah,Penuh waktu
Kanada,124072870,1.0,2.0,2.0,2.0,8.0,7.0,8.0,3.0,3.0,Perempuan,1992.0,27.0,Lajang,Penuh waktu
Kanada,124072871,1.0,2.0,1.0,1.0,5.0,6.0,5.0,5.0,5.0,Perempuan,1987.0,32.0,Menikah,Penuh waktu
Kanada,124072872,1.0,1.0,1.0,2.0,10.0,7.0,5.0,8.0,5.0,Laki-laki,1988.0,32.0,Menikah,Penuh waktu
Kanada,124072873,1.0,1.0,1.0,2.0,6.0,7.0,7.0,5.0,7.0,Perempuan,1983.0,37.0,Lajang,Penuh waktu
Kanada,124072874,1.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,5.0,Perempuan,1998.0,22.0,Kohabitasi,Penuh waktu
Kanada,124072875,1.0,2.0,2.0,3.0,8.0,7.0,7.0,3.0,6.0,Perempuan,1952.0,67.0,Menikah,Pensiunan
Kanada,124072876,1.0,2.0,1.0,3.0,7.0,6.0,9.0,2.0,2.0,Laki-laki,2002.0,18.0,Lajang,Paruh waktu
Kanada,124072877,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,1.0,Laki-laki,1974.0,45.0,Lajang,Pelajar/Mahasiswa
Kanada,124072878,1.0,2.0,1.0,2.0,9.0,8.0,7.0,4.0,5.0,Perempuan,1968.0,52.0,Menikah,Ibu rumah tangga
Kanada,124072881,2.0,3.0,2.0,2.0,7.0,7.0,6.0,4.0,5.0,Perempuan,1974.0,46.0,Kohabitasi,Penuh waktu
Kanada,124072883,2.0,1.0,2.0,2.0,4.0,7.0,8.0,3.0,4.0,Laki-laki,1967.0,53.0,Lajang,Paruh waktu
Kanada,124072884,1.0,2.0,2.0,1.0,7.0,3.0,3.0,3.0,8.0,Laki-laki,2001.0,19.0,Lajang,Pelajar/Mahasiswa
Kanada,124072887,1.0,2.0,1.0,1.0,7.0,8.0,8.0,9.0,6.0,Laki-laki,2001.0,19.0,Lajang,Pelajar/Mahasiswa
Kanada,124072889,1.0,1.0,1.0,2.0,10.0,8.0,6.0,8.0,2.0,Laki-laki,1986.0,34.0,Menikah,Penuh waktu
Kanada,124072890,2.0,1.0,1.0,1.0,7.0,6.0,8.0,3.0,2.0,Laki-laki,1982.0,38.0,Kohabitasi,Penuh waktu
Kanada,124072892,1.0,1.0,1.0,2.0,8.0,8.0,10.0,5.0,5.0,Laki-laki,1959.0,62.0,Janda/Duda,Wiraswasta
Kanada,124072893,1.0,1.0,2.0,3.0,9.0,8.0,7.0,5.0,7.0,Perempuan,1979.0,41.0,Lajang,Paruh waktu
Kanada,124072894,1.0,1.0,1.0,1.0,5.0,4.0,4.0,7.0,6.0,Perempuan,1998.0,22.0,Lajang,Pelajar/Mahasiswa
Kanada,124072895,2.0,2.0,1.0,1.0,8.0,5.0,4.0,9.0,7.0,Laki-laki,1949.0,71.0,Bercerai,Paruh waktu
Kanada,124072896,2.0,2.0,1.0,3.0,5.0,6.0,4.0,2.0,6.0,Perempuan,1999.0,21.0,Lajang,Pelajar/Mahasiswa
Kanada,124072897,1.0,2.0,2.0,2.0,7.0,6.0,6.0,2.0,6.0,Laki-laki,1997.0,23.0,Lajang,Paruh waktu
Kanada,124072898,1.0,2.0,1.0,2.0,9.0,6.0,6.0,7.0,5.0,Laki-laki,2000.0,20.0,Lajang,Penuh waktu
Kanada,124072899,1.0,2.0,2.0,2.0,10.0,7.0,1.0,1.0,5.0,Perempuan,1981.0,39.0,Lajang,Tidak bekerja
Kanada,124072900,1.0,2.0,3.0,4.0,10.0,10.0,10.0,10.0,3.0,Perempuan,1944.0,76.0,Kohabitasi,Pensiunan
Kanada,124072901,2.0,2.0,2.0,3.0,5.0,6.0,5.0,4.0,4.0,Perempuan,2001.0,19.0,Lajang,Pelajar/Mahasiswa
Kanada,124072902,1.0,1.0,2.0,2.0,5.0,1.0,1.0,6.0,5.0,Laki-laki,1976.0,44.0,Lajang,Penuh waktu
Kanada,124072904,1.0,3.0,1.0,1.0,5.0,8.0,4.0,8.0,5.0,Perempuan,1991.0,29.0,Kohabitasi,Penuh waktu
Kanada,124072905,1.0,1.0,1.0,1.0,9.0,7.0,9.0,9.0,3.0,Perempuan,1995.0,25.0,Lajang,Pelajar/Mahasiswa
Kanada,124072908,1.0,2.0,2.0,1.0,9.0,7.0,7.0,2.0,5.0,Perempuan,1982.0,39.0,Kohabitasi,Penuh waktu
Kanada,124072909,3.0,3.0,1.0,4.0,6.0,6.0,7.0,3.0,2.0,Laki-laki,1973.0,47.0,Lajang,Wiraswasta
Kanada,124072911,1.0,1.0,1.0,1.0,9.0,7.0,6.0,3.0,6.0,Perempuan,1975.0,44.0,Kohabitasi,Penuh waktu
Kanada,124072912,1.0,2.0,2.0,2.0,7.0,7.0,7.0,6.0,5.0,Laki-laki,1968.0,52.0,Lajang,Penuh waktu
Kanada,124072913,1.0,2.0,2.0,1.0,9.0,9.0,10.0,4.0,3.0,Perempuan,1958.0,62.0,Kohabitasi,Pensiunan
Kanada,124072914,1.0,1.0,1.0,1.0,8.0,7.0,7.0,3.0,3.0,Laki-laki,1960.0,60.0,Lajang,Wiraswasta
Kanada,124072915,1.0,3.0,2.0,2.0,8.0,7.0,7.0,4.0,2.0,Perempuan,1957.0,63.0,Menikah,Pensiunan
Kanada,124072916,1.0,2.0,1.0,2.0,8.0,9.0,8.0,4.0,3.0,Perempuan,1953.0,66.0,Menikah,Pensiunan
Kanada,124072917,1.0,1.0,1.0,3.0,8.0,8.0,9.0,6.0,3.0,Perempuan,1990.0,30.0,Menikah,Penuh waktu
Kanada,124072918,2.0,2.0,1.0,2.0,8.0,8.0,9.0,1.0,6.0,Laki-laki,1983.0,37.0,Kohabitasi,Penuh waktu
Kanada,124072920,1.0,2.0,1.0,2.0,8.0,4.0,8.0,4.0,3.0,Laki-laki,1990.0,30.0,Kohabitasi,Penuh waktu
Kanada,124072921,1.0,1.0,1.0,1.0,9.0,9.0,10.0,8.0,9.0,Laki-laki,1971.0,41.0,Lajang,Penuh waktu
Kanada,124072922,2.0,3.0,3.0,1.0,9.0,9.0,10.0,3.0,5.0,Perempuan,1982.0,38.0,Menikah,Penuh waktu
Kanada,124072923,1.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,Laki-laki,1954.0,66.0,Menikah,Penuh waktu
Kanada,124072924,1.0,1.0,2.0,2.0,5.0,7.0,7.0,10.0,5.0,Perempuan,1960.0,60.0,Pisah,Penuh waktu
Kanada,124072925,2.0,2.0,2.0,2.0,8.0,7.0,7.0,4.0,5.0,Laki-laki,1976.0,43.0,Kohabitasi,Penuh waktu
